fly position,center of mass,laser status
40.081,40.081,0
47.689,47.689,0
56.916,56.916,0
56.916,NaN,0
56.916,NaN,0
56.916,NaN,0
56.916,NaN,0
56.916,39.023,0
33.427,33.427,0
29.321,29.321,0
25.888,25.888,0
22.356,22.356,0
21.614,21.614,0
18.936,18.936,0
17.142,17.142,0
15.3,15.3,0
19.916,19.916,0
25.662,25.662,0
34.496,34.496,0
50.151,50.151,0
49.013,49.013,0
49.013,NaN,0
49.013,NaN,0
49.013,NaN,0
49.013,NaN,0
49.013,NaN,0
49.013,NaN,0
49.013,NaN,0
49.013,NaN,0
49.013,NaN,0
49.013,NaN,0
49.013,NaN,0
49.013,NaN,0
49.013,NaN,0
49.013,58.916,0
70.21,70.21,0
70.21,NaN,0
70.21,64.916,0
59.814,59.814,0
59.15,59.15,0
58.591,58.591,0
61.365,61.365,0
69.025,69.025,0
73.151,73.151,0
72.558,72.558,0
78.009,78.009,0
80.36,80.36,0
87.307,87.307,0
97.288,97.288,0
102.59,102.59,0
109.2,109.2,0
117.84,117.84,0
127.42,127.42,0
135.98,135.98,0
143.07,143.07,0
145.9,145.9,0
150.23,150.23,0
154.21,154.21,0
161.86,161.86,0
174.24,174.24,0
187.38,187.38,0
200.15,200.15,0
205.22,205.22,0
211.63,211.63,0
214.9,214.9,0
220.55,220.55,0
226.56,226.56,0
231.51,231.51,0
241.24,241.24,0
252.57,252.57,0
260.54,260.54,0
264.27,264.27,0
266.04,266.04,0
268.86,268.86,0
276.74,276.74,0
288.78,288.78,0
299.11,299.11,0
307.54,307.54,0
299.64,299.64,0
298.35,298.35,0
299.18,299.18,0
307.26,307.26,0
312.86,312.86,0
324.2,324.2,0
335.17,335.17,0
344.76,344.76,0
349.37,349.37,0
353.07,353.07,0
356.69,356.69,0
355.15,355.15,0
362.41,362.41,0
368.17,368.17,0
379.14,379.14,0
390.13,390.13,0
403.14,403.14,0
408.82,408.82,0
408.28,408.28,0
412.68,412.68,0
